Date,Open,High,Low,Close,Adj Close,Volume
2006-03-01,21.527472,33.113167,19.766132,31.376289,29.434357,201979996
2006-03-02,33.269730,37.320808,31.801947,33.372475,31.306999,92643702
2006-03-03,33.240372,34.121044,31.655169,32.325455,30.324774,43381419
2006-03-06,31.312687,33.807915,31.214834,31.527962,29.576641,20520337
2006-03-07,31.527962,31.968294,30.094427,30.392876,28.511808,13284328
2006-03-08,30.334166,31.850874,29.864473,30.016146,28.158392,16056428
2006-03-09,30.138460,31.082733,29.957434,30.544546,28.654087,5540920
2006-03-10,30.666862,32.193356,30.534761,31.914476,29.939236,7525455
2006-03-13,32.071041,32.437984,30.926170,31.209942,29.278297,1893039
2006-03-14,31.312687,31.400753,30.260775,30.490728,28.603603,1442748
2006-03-16,30.534761,30.921276,29.771515,29.967218,28.112492,994990
2006-03-17,30.334166,30.334166,27.941681,28.797886,27.015533,1432671
2006-03-20,29.159939,33.269730,28.719604,32.222710,30.228386,6527419
2006-03-21,31.997650,32.457558,29.747051,30.084642,28.222651,6103647
2006-03-22,29.389891,31.694309,29.389891,30.295025,28.420012,5341007
2006-03-23,29.844904,31.283331,29.844904,30.162924,28.296085,2071737
2006-03-24,30.334166,30.887030,29.903616,30.231421,28.360344,1052291
2006-03-27,30.823425,35.716034,30.569010,34.527130,32.390190,18696360
2006-03-28,34.228680,36.498852,33.269730,34.228680,32.110203,22302495
2006-03-29,34.140614,35.422478,33.788345,34.218895,32.101028,8596704
2006-03-30,34.698372,39.316994,34.541805,38.632027,36.241020,28048460
2006-03-31,37.379520,40.295513,37.379520,38.318901,35.947273,16212889
2006-04-03,38.358040,39.630119,37.868778,38.279758,35.910561,4942916
2006-04-04,38.553745,38.832623,36.327606,37.320808,35.010956,2675270
2006-04-05,37.183815,38.035130,35.725819,36.146584,33.909397,2882328
2006-04-07,35.535007,37.379520,33.724743,34.194431,32.078075,3491318
2006-04-10,34.346104,35.990021,34.346104,35.706245,33.496323,2264794
2006-04-12,35.241451,39.336563,35.241451,37.619259,35.290932,8572392
2006-04-13,37.810066,37.956848,35.740498,36.660305,34.391338,3325588
2006-04-17,37.027252,37.854103,36.944077,37.438229,35.121109,1417352
2006-04-18,37.673077,38.651596,36.811977,37.125103,34.827366,917169
